Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2026-07-06,35233.3984375,35312.80078125,35053.8984375,35212.30078125,278554000,0.0,0.0
2026-07-07,35235.3984375,35414.6015625,35076.6015625,35272.6015625,300704100,0.0,0.0
2026-07-08,35125.6015625,35125.6015625,34618.3984375,34935.80078125,267646300,0.0,0.0
2026-07-09,34990.5,35263.0,34990.5,35200.5,250707400,0.0,0.0
2026-07-10,35249.19921875,35357.1015625,35128.0,35305.30078125,199949200,0.0,0.0
2026-07-13,35287.1015625,35416.8984375,35168.80078125,35252.69921875,247367100,0.0,0.0
2026-07-14,35261.5,35502.80078125,35261.5,35320.5,207974800,0.0,0.0
2026-07-15,35345.19921875,35479.30078125,35243.69921875,35416.19921875,211718500,0.0,0.0
2026-07-16,35365.5,35441.80078125,35158.30078125,35340.19921875,219388500,0.0,0.0
2026-07-17,35217.3984375,35346.3984375,35034.0,35263.8984375,237322600,0.0,0.0
2026-07-20,35280.3984375,35378.30078125,34960.30078125,34960.30078125,198067800,0.0,0.0
2026-07-21,35066.5,35369.1015625,34986.5,35369.1015625,221775000,0.0,0.0
2026-07-22,35419.6015625,35730.80078125,35419.6015625,35485.1015625,223489200,0.0,0.0
2026-07-23,35364.80078125,35364.80078125,35082.1015625,35192.69921875,239632900,0.0,0.0
2026-07-24,35264.0,35453.6015625,35230.0,35369.1015625,194954300,0.0,0.0
2026-07-27,35395.19921875,35592.1015625,35317.0,35568.1015625,242327700,0.0,0.0
2026-07-28,35497.30078125,35760.0,35374.3984375,35749.69921875,252070900,0.0,0.0
2026-07-29,35701.1015625,35727.8984375,35279.69921875,35333.80078125,285380700,0.0,0.0
2026-07-30,35439.19921875,35526.3984375,35217.3984375,35505.80078125,245711900,0.0,0.0
2026-07-31,35449.8984375,35482.19921875,35189.80078125,35226.1015625,323160300,0.0,0.0
2026-08-04,35422.5,35847.19921875,35422.5,35801.6015625,363516700,0.0,0.0
2026-08-05,36226.6015625,36443.30078125,36142.69921875,36146.3984375,329458400,0.0,0.0
2026-08-06,36116.5,36249.80078125,35981.8984375,36136.30078125,274042300,0.0,0.0
2026-08-07,36234.5,36385.80078125,36234.5,36381.19921875,301046200,0.0,0.0
2026-08-10,36348.6015625,36534.19921875,36298.6015625,36458.30078125,299509100,0.0,0.0
